trans_id,lang,translation,category,station_sid,course_sid
観音小学校前,ko,간온 초등학교,stop_name,6b004c42-0069-4c8f-8ba0-f566c4d7f77e,
観音小学校前,zh-ch,观音小学前,stop_name,6b004c42-0069-4c8f-8ba0-f566c4d7f77e,
観音小学校前,zh-tw,觀音小學前,stop_name,6b004c42-0069-4c8f-8ba0-f566c4d7f77e,
広島文教大学入口,ja,広島文教大学入口,stop_name,43aeba84-36b3-4010-a43a-766fbfc9b4da,
広島文教大学入口,ja-Hrkt,ひろしまぶんきょうだいがくいりぐち,stop_name,43aeba84-36b3-4010-a43a-766fbfc9b4da,
河内農協,en,Kochi Nokyo,stop_name,9d104068-6a43-4df9-93c0-f10473f27024,
河内農協,ko,고치 노쿄,stop_name,9d104068-6a43-4df9-93c0-f10473f27024,
河内農協,zh-ch,河内农协,stop_name,9d104068-6a43-4df9-93c0-f10473f27024,
河内農協,zh-tw,河內農協,stop_name,9d104068-6a43-4df9-93c0-f10473f27024,
西十日市,ja,西十日市,stop_name,fb610131-2007-4acc-8b3c-e6c6dd05cbe0,
西十日市,ja-Hrkt,にしとうかいち,stop_name,fb610131-2007-4acc-8b3c-e6c6dd05cbe0,
大和重工前,ja,大和重工前,stop_name,9d6f7c0c-e8cc-447f-8df6-453c37647ab6,
大和重工前,ja-Hrkt,だいわじゅうこうまえ,stop_name,9d6f7c0c-e8cc-447f-8df6-453c37647ab6,
瀬山,ja,瀬山,stop_name,94203cd0-cf08-46cf-9434-cffab9ee5515,
瀬山,ja-Hrkt,せやま,stop_name,94203cd0-cf08-46cf-9434-cffab9ee5515,
安小学校,ja,安小学校,stop_name,feb86073-06b8-480f-a3a9-5bc686b669eb,
安小学校,ja-Hrkt,やすしょうがっこう,stop_name,feb86073-06b8-480f-a3a9-5bc686b669eb,
江波西一丁目,ja,江波西一丁目,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,ja-Hrkt,えばにしいっちょうめ,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,en,Eba-nishi-itchome (Eba-nishi 1),stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,ko,에바 니시 1초메,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,zh-ch,江波西一丁目,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,zh-tw,江波西一丁目,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
女学院大学前,ja,女学院大学前,stop_name,82defe7d-99aa-4a28-b7e9-1b63e3a37ab7,
女学院大学前,ja-Hrkt,じょがくいんだいがくまえ,stop_name,82defe7d-99aa-4a28-b7e9-1b63e3a37ab7,
下緑井,ja,下緑井,stop_name,8e1a50d8-d504-44ee-a049-dbae8b859b25,
下緑井,ja-Hrkt,しもみどりい,stop_name,8e1a50d8-d504-44ee-a049-dbae8b859b25,
佐伯高校前,ja,佐伯高校前,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,ja-Hrkt,さえきこうこうまえ,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,en,Saeki Koko-mae (Saeki High School),stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,ko,사에키 고등학교,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,zh-ch,佐伯高中前,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
佐伯高校前,zh-tw,佐伯高中前,stop_name,a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,
己斐本町二丁目,ja,己斐本町二丁目,stop_name,eaf4fb74-a63f-46cb-87bf-2123340e7b3b,
