trans_id,lang,translation
グリーンタウン郷原入口,ja-Hrkt,ぐりーんたうんごうはらいりぐち
十王堂,ja,十王堂
十王堂,ja-Hrkt,じゅうおうどう
府中町役場,ja,府中町役場
府中町役場,ja-Hrkt,ふちゅうちょうやくば
高野,ja,高野
高野,ja-Hrkt,こうや
新畑,ja,新畑
新畑,ja-Hrkt,しんばた
本庄,ja,本庄
本庄,ja-Hrkt,ほんじょう
美鈴モール前,ja,美鈴モール前
美鈴モール前,ja-Hrkt,みすずもーるまえ
井口台東,ja,井口台東
井口台東,ja-Hrkt,いのくちだいひがし
井口台東,en,Inokuchidai-higashi
井口台東,ko,이노쿠치다이 히가시
井口台東,zh-ch,井口台东
井口台東,zh-tw,井口臺東
五日市駅南口,ja,五日市駅南口
五日市駅南口,ja-Hrkt,いつかいちえきみなみぐち
安芸高田警察署,ja,安芸高田警察署
安芸高田警察署,ja-Hrkt,あきたかたけいさつしょまえ
下大下,ja,下大下
下大下,ja-Hrkt,しもおおしも
下大下,en,Shimo-oshimo
下大下,ko,시모오시모
下大下,zh-ch,下大下
下大下,zh-tw,下大下
下河内集会所,ja,下河内集会所
下河内集会所,ja-Hrkt,しもごうちしゅうかいしょ
辻の河原大橋,ja,辻の河原大橋
辻の河原大橋,ja-Hrkt,つじのかわはらおおはし
牛田新町一丁目,ja,牛田新町一丁目
牛田新町一丁目,ja-Hrkt,うしたしんまちいっちょうめ
平谷,ja,平谷
平谷,ja-Hrkt,ひらたに
阿賀海岸通,ja,阿賀海岸通
阿賀海岸通,ja-Hrkt,あがかいがんどおり
下大林,ja,下大林
下大林,ja-Hrkt,しもおおばやし
下大林,en,Shimo-obayashi
下大林,ko,시모오바야시
下大林,zh-ch,下大林
下大林,zh-tw,下大林
戸谷上,ja,戸谷上
戸谷上,ja-Hrkt,とだにかみ
清水１丁目,ja,清水１丁目
清水１丁目,ja-Hrkt,しみずいっちょうめ
友和学校,ja,友和学校
友和学校,ja-Hrkt,ゆうわがっこう
千足,ja,千足
千足,ja-Hrkt,せんぞく
千足,en,Senzoku
千足,ko,센조쿠
千足,zh-ch,千足
千足,zh-tw,千足
丹那町西,ja,丹那町西
丹那町西,ja-Hrkt,たんなちょうにし
丹那町西,en,Tannacho-nishi
丹那町西,ko,단나초 니시
丹那町西,zh-ch,丹那町西
丹那町西,zh-tw,丹那町西
下根宮の上,ja,下根宮の上
下根宮の上,ja-Hrkt,しもねみやのうえ
ふじタウン北,ja,ふじタウン北
ふじタウン北,ja-Hrkt,ふじたうんきた
本通３丁目,en,Hondori-sanchome (Hondori 3)
本通３丁目,ko,혼도리 3초메
本通３丁目,zh-ch,本通3丁目
本通３丁目,zh-tw,本通3丁目
御所の浦,ja,御所の浦
御所の浦,ja-Hrkt,ごしょのうら
仁保車庫前,ja,仁保車庫前
仁保車庫前,ja-Hrkt,にほしゃこまえ
八幡川峡,ja,八幡川峡
八幡川峡,ja-Hrkt,やはたがわきょう
八幡川峡,en,Yahatagawakyo
八幡川峡,ko,야하타가와쿄
八幡川峡,zh-ch,八幡川峡
八幡川峡,zh-tw,八幡川峽
仁保南３番,ja,仁保南３番
仁保南３番,ja-Hrkt,にほみなみさんばん
豊平中学校前,ja,豊平中学校前
豊平中学校前,ja-Hrkt,とよひらちゅうがっこうまえ
阿品台北中央,ja,阿品台北中央
阿品台北中央,ja-Hrkt,あじなだいきたちゅうおう
阿品台北中央,en,Ajinadai-kita-chuo
阿品台北中央,ko,아지나다이 키타 추오
阿品台北中央,zh-ch,阿品台北中央
阿品台北中央,zh-tw,阿品臺北中央
宮内串戸駅,ja,宮内串戸駅
宮内串戸駅,ja-Hrkt,みやうちくしどえき
大正橋,ja,大正橋
大正橋,ja-Hrkt,たいしょうばし
大正橋,en,Taishobashi
大正橋,ko,다이쇼바시
大正橋,zh-ch,大正桥
大正橋,zh-tw,大正橋
昭和埠頭前,ja,昭和埠頭前
昭和埠頭前,ja-Hrkt,しょうわふとうまえ
昭和埠頭前,en,Showa Futo-mae
昭和埠頭前,ko,쇼와 후토 마에
昭和埠頭前,zh-ch,昭和埠头前
昭和埠頭前,zh-tw,昭和埠頭前
木坂,ja,木坂
木坂,ja-Hrkt,きさか
木坂,en,Kisaka
木坂,ko,기사카
木坂,zh-ch,木坂
木坂,zh-tw,木阪
南区役所前,ja,南区役所前
南区役所前,ja-Hrkt,みなみくやくしょまえみなみまちいっちょうめ
府中ニュータウン,ja,府中ニュータウン
府中ニュータウン,ja-Hrkt,ふちゅうにゅーたうん
府中ニュータウン,en,Fuchu New Town
府中ニュータウン,ko,후추 뉴타운
府中ニュータウン,zh-ch,府中新城
府中ニュータウン,zh-tw,府中新城
栃原口,ja,栃原口
栃原口,ja-Hrkt,とちばらぐち
津田,ja,津田
津田,ja-Hrkt,つた
津田,en,Tsuta
津田,ko,쓰타
津田,zh-ch,津田
津田,zh-tw,津田
坪の内町,en,Tsubonouchicho
坪の内町,ko,쓰보노우치초
坪の内町,zh-ch,坪之内町
坪の内町,zh-tw,坪之內町
六本松口,ja,六本松口
六本松口,ja-Hrkt,ろっぽんまつぐち
新観音橋西,ja,新観音橋西
新観音橋西,ja-Hrkt,しんかんおんばしにし
徳丸,ja,徳丸
徳丸,ja-Hrkt,とくまる
市立大学前,ja,市立大学前
市立大学前,ja-Hrkt,しりつだいがくまえ
市立大学前,en,Shiritsu Daigaku-mae (Hiroshima City Univ.)
市立大学前,ko,시립대학
市立大学前,zh-ch,市立大学前
市立大学前,zh-tw,市立大學前
石内南四丁目,ja,石内南四丁目
石内南四丁目,ja-Hrkt,いしうちみなみよんちょうめ
石内南四丁目,en,Ishiuchi-minami-yonchome (Ishiuchi-minami 4)
石内南四丁目,ko,이시우치 미나미 4초메
石内南四丁目,zh-ch,石内南四丁目
石内南四丁目,zh-tw,石內南四丁目
音戸桟橋,ja,音戸桟橋
音戸桟橋,ja-Hrkt,おんどさんばし
音戸桟橋,en,Ondo Sambashi (Ondo Pier)
音戸桟橋,ko,온도 산바시
音戸桟橋,zh-ch,音户栈桥
音戸桟橋,zh-tw,音戶棧橋
尾淵,ja,尾淵
尾淵,ja-Hrkt,おぶち
大手町四丁目,ja,大手町四丁目
大手町四丁目,ja-Hrkt,おおてまちよんちょうめ
砂が瀬,ja,砂が瀬
砂が瀬,ja-Hrkt,ごみがせ
明神橋,ja,明神橋
明神橋,ja-Hrkt,みょうじんばし
汐込川,en,Shiokomigawa
汐込川,ko,시오코미가와
汐込川,zh-ch,汐込川
汐込川,zh-tw,汐込川
森城団地入口,ja,森城団地入口
森城団地入口,ja-Hrkt,もりじょうだんちいりぐち
